http_status,time_total
200,0.048535
200,0.129851
200,0.041718
200,0.045158
200,0.040273
200,0.043256
200,0.132816
200,0.044948
200,0.039143
200,0.067488
200,0.044909
200,0.036748
200,0.036628
200,0.041200
200,0.062674
200,0.043410
200,0.045864
200,0.124640
200,0.043455
200,0.048931
200,0.072213
200,0.045043
200,0.041929
200,0.039650
200,0.039328
200,0.083147
200,0.043571
200,0.042102
200,0.129605
200,0.039136
200,0.040338
200,0.078954
200,0.044571
200,0.040989
200,0.041982
200,0.043242
200,0.051234
200,0.040442
200,0.067061
200,0.041640
200,0.029137
200,0.071465
200,0.041469
200,0.042303
200,0.039776
200,0.039934
200,0.095164
200,0.033088
200,0.042619
200,0.127360
200,0.049953
200,0.040886
200,0.064297
200,0.037775
200,0.082342
200,0.043167
200,0.040285
200,0.070800
200,0.045580
200,0.074667
200,0.046011
200,0.040410
200,0.044233
200,0.046272
200,0.131326
200,0.051755
200,0.048671
200,0.075443
200,0.046201
200,0.041286
200,0.043593
200,0.040906
200,0.068072
200,0.039835
200,0.041127
200,0.173646
200,0.044041
200,0.048396
200,0.045137
200,0.039963
200,0.131798
200,0.041385
200,0.049011
200,0.064406
200,0.042330
200,0.032156
200,0.048192
200,0.047028
200,0.087222
200,0.042652
200,0.040313
200,0.044269
200,0.045945
200,0.136056
200,0.038655
200,0.046088
200,0.127185
200,0.048612
200,0.037157
200,0.041707
200,0.042830
200,0.089660
200,0.045522
200,0.044091
200,0.079802
200,0.050376
200,0.037284
200,0.088210
200,0.039761
200,0.088028
200,0.037215
200,0.034564
200,0.191537
200,0.038218
200,0.060774
200,0.046422
200,0.046706
200,0.082975
200,0.044234
200,0.044869
200,0.147337
200,0.040395
200,0.049074
200,0.039175
200,0.041507
200,0.045993
200,0.036261
200,0.059390
200,0.044343
200,0.038227
200,0.040625
200,0.035520
200,0.041354
200,0.038716
200,0.040708
200,0.145538
200,0.031121
200,0.037513
200,0.074156
200,0.034342
200,0.038510
200,0.047240
200,0.035435
200,0.041187
200,0.035843
200,0.033826
200,0.169850
200,0.033806
200,0.040412
200,0.081602
200,0.034823
200,0.030552
200,0.259785
200,0.034003
200,0.039725
200,0.078412
200,0.040140
200,0.037093
200,0.079881
200,0.034068
200,0.195634
200,0.038514
200,0.038195
200,0.149499
200,0.043975
200,0.040626
200,0.047657
200,0.036770
